n_angles,fbp_ssim,fbp_psnr,fbp_mse,fbp_re,unet_ssim,unet_psnr,unet_mse,unet_re
45,0.6274527311325073,28.173730850219727,0.001522743608802557,0.17562445998191833,0.9533863663673401,38.85700225830078,0.0001301066076848656,0.05133591219782829
45,0.6338340044021606,28.201839447021484,0.0015129197854548693,0.17384527623653412,0.9504114389419556,38.779457092285156,0.00013245073205325752,0.05143776535987854
45,0.6374301314353943,28.413206100463867,0.001441050786525011,0.17297083139419556,0.953399658203125,38.83280944824219,0.00013083340309094638,0.05211858078837395
45,0.59726881980896,27.369226455688477,0.0018326397985219955,0.20325051248073578,0.9509097337722778,38.077293395996094,0.0001556935312692076,0.05924182012677193
45,0.6199633479118347,27.856887817382812,0.001637989655137062,0.16604571044445038,0.9480959177017212,38.52987289428711,0.00014028538134880364,0.048593517392873764
45,0.5981215238571167,27.425800323486328,0.0018089215736836195,0.20496131479740143,0.9498018622398376,38.11050796508789,0.0001545072882436216,0.05990133434534073
45,0.6224985122680664,27.93202781677246,0.0016098932828754187,0.16654974222183228,0.9498825073242188,38.605281829833984,0.0001378705637762323,0.04873951897025108
45,0.6040059328079224,27.557819366455078,0.0017547603929415345,0.20349574089050293,0.9527443647384644,38.30238342285156,0.0001478296471759677,0.0590645894408226
45,0.6223716735839844,27.866140365600586,0.001634503249078989,0.16768130660057068,0.9480344653129578,38.4174919128418,0.0001439629413653165,0.04976421594619751
45,0.6160436868667603,28.132556915283203,0.0015372487250715494,0.20225121080875397,0.9547127485275269,38.70980453491211,0.00013459197361953557,0.059845104813575745
45,0.6190716028213501,27.75655174255371,0.001676273182965815,0.169490247964859,0.9487097859382629,38.3826789855957,0.00014512150664813817,0.04986986890435219
45,0.6032943725585938,27.482614517211914,0.001785412197932601,0.19952809810638428,0.9507808685302734,38.13603973388672,0.0001536016061436385,0.05852382257580757
45,0.6187370419502258,27.693174362182617,0.0017009146977216005,0.1717379093170166,0.9487593173980713,38.333866119384766,0.00014676182763651013,0.05044654756784439
45,0.6260243654251099,28.143783569335938,0.0015332808252424002,0.17094199359416962,0.9509906768798828,38.86491775512695,0.00012986974616069347,0.049749866127967834
45,0.6004363298416138,27.320199966430664,0.001853445079177618,0.19872398674488068,0.9491915702819824,37.86642074584961,0.00016343977767974138,0.05901186540722847
45,0.6210456490516663,27.823028564453125,0.001650810008868575,0.1722688376903534,0.9485210180282593,38.46385192871094,0.00014243440818972886,0.05060175806283951
45,0.6032185554504395,27.356664657592773,0.001837948802858591,0.19772085547447205,0.9496279954910278,37.852455139160156,0.00016396629507653415,0.0590558722615242
45,0.6238807439804077,27.91712188720703,0.001615429064258933,0.17322394251823425,0.9501036405563354,38.52663040161133,0.00014039018424227834,0.05106605216860771
45,0.6083755493164062,27.631376266479492,0.0017252902034670115,0.19762620329856873,0.9517674446105957,38.079612731933594,0.00015561043983325362,0.05935165286064148
45,0.6164997220039368,27.682287216186523,0.0017051835311576724,0.17459791898727417,0.9487228393554688,38.30572509765625,0.00014771588030271232,0.051388632506132126
45,0.6117866039276123,27.737594604492188,0.0016836058348417282,0.19718311727046967,0.9526904821395874,38.25436019897461,0.00014947338786441833,0.05875318869948387
45,0.6181989312171936,27.776382446289062,0.0016686362214386463,0.17490628361701965,0.9496997594833374,38.39763641357422,0.00014462257968261838,0.05149234086275101
