slice,psnr_fbp,ssim_fbp,psnr_pnp,ssim_pnp
1,31.477614993262023,0.7711491804252862,39.15358047400868,0.9573483165874481
2,31.961535645980348,0.7767509183203279,40.819873348234054,0.96567222402668
3,31.517953882347097,0.7745623123579324,39.25824780639492,0.9563318653945923
4,30.627602571546653,0.7468512438901663,38.00408949012984,0.9502000452985764
5,31.20469835480951,0.7625736195956767,38.79361956974889,0.954906347817421
6,30.69686916082942,0.7479511854460835,38.09119732450846,0.9510104882011413
7,31.222488668129547,0.7640526944690644,38.8036120345441,0.955589047621727
8,30.755321351959623,0.7486522522017359,38.16700641196852,0.9513690351352692
9,31.161668858804752,0.7635628234526962,38.72281541453155,0.9553796417407989
10,31.330759843725723,0.7648724429004192,38.65801951485013,0.9540983578796387
11,31.070421606026734,0.7625774436994046,38.58035176062878,0.9548488000888824
12,30.657556676428555,0.7472218416905403,38.13821976837381,0.9501219479093551
13,31.006480206119562,0.7613520168664605,38.54754772257266,0.9550376609706879
14,31.778631682164367,0.7664418120578229,40.327694483572635,0.9619976576070786
15,30.521249743415893,0.7443575663406848,38.00886834536225,0.9485985850896835
16,31.05558216020258,0.7617833791617453,38.727171284939416,0.9556428178777695
17,30.55205926874322,0.7456877289089561,38.073821823835786,0.9484589687042236
18,31.152365351317105,0.7648590924517215,38.745670830336174,0.9551535352401733
19,30.8701918683134,0.7573505551874041,38.360300311956024,0.9504810560417175
20,30.974404023375154,0.7597995456815809,38.58751301928131,0.9545332500343323
21,30.99920368531877,0.7613855334448815,38.60492056122104,0.951640547914505
22,31.036444303504446,0.7601876657098532,38.67630075293149,0.9546287921876907
23,30.919112264854604,0.7591575943928361,38.5226497272567,0.9503191500930787
24,31.073434178227323,0.7601660528669357,38.75863583510983,0.9553060866546631
25,31.716881338356522,0.7819506616473794,39.286159823874314,0.9565949850568771
26,31.449272250356785,0.7723475082044602,39.1730205645981,0.9543649191141128
27,31.228567583602107,0.7651496809807121,38.86163022547746,0.9560054102954865
28,31.91726824877159,0.7878600869328976,39.443616083896174,0.9590729011278153
29,31.883108216702283,0.7839751344004869,39.432557295127985,0.9554325490627289
30,31.764604340321526,0.7833472128492892,39.195694965919415,0.95811128632164
31,31.740645256893597,0.7789923735540509,39.360472296002776,0.9540455428419113
32,31.82996808386147,0.7839270668610633,39.266595230066514,0.9587330800123215
33,31.708617806236212,0.7794373439152836,39.27189769990358,0.9539290896987915
34,31.838522679796352,0.7829910132188201,39.269877800832305,0.9588500852804184
35,31.44305578097505,0.7721170298882127,39.05405593365961,0.9529598014659881
36,31.835896893241458,0.7664973317790479,40.339701709802526,0.9619490215473175
37,31.56884723094652,0.7758298255747855,39.132070145852005,0.9580397957725525
38,31.52161463959715,0.7743088856740594,39.086718974806544,0.9535196510639191
39,31.413348344878305,0.7741734977618456,38.87994102042819,0.9565213836612702
40,31.207720964035364,0.7645527936124206,38.815298602921956,0.9517001977510452
41,31.404650627079718,0.7743478635034561,38.90048192542392,0.9565812613277436
42,30.89822463819994,0.7552593350806832,38.36481004140085,0.9490718462820054
43,31.42331795767006,0.7747246686026752,38.95352045972813,0.957533787320137
44,31.560647053807646,0.7739120269985199,38.97225795681902,0.9538697248430252
45,31.567112001368223,0.7773282999402583,39.161322992971996,0.958510444615364
46,30.885878537867477,0.7579557459637523,38.17357693340905,0.9488593993463517
47,31.86472105846388,0.7856366247434914,39.365398517675054,0.9579350588817597
48,31.694507777073753,0.7789878799719214,39.36763727916217,0.9595962382287979
49,30.851318812542964,0.7587324187642932,38.218491655054976,0.9495812090482711
50,31.104652795659412,0.7647100568392277,38.51315936053869,0.9511391528663635
51,31.302284408261926,0.7710080657801032,38.608285043270726,0.9522404895744324
52,31.535623068397555,0.7761781474447846,38.91988949374166,0.953898017788887
53,31.249610833720567,0.7686019248175621,38.61711449458242,0.9520605483551026
54,30.77988371782492,0.7570982550552487,38.06185860417266,0.9488978512020111
55,30.87287043163365,0.7585697092342972,38.097850328955275,0.9502884009342194
56,30.82135170682506,0.756633536463797,38.05228596141282,0.9503623973302842
57,30.9484957128383,0.7597555614953637,38.11876819489718,0.951130402420044
58,31.738972784821712,0.7638939642358571,40.25355024902771,0.9621952592077255
59,31.142608970432928,0.7640667366243005,38.24592332098165,0.9517558663778305
60,31.108787855521488,0.7613744106288552,38.20700465816857,0.9508752732505799
61,31.533060381868985,0.7716625538354516,38.60000375147968,0.9535426933250427
62,30.786299630080286,0.7542284044780433,37.97001216432268,0.9486931430664063
63,30.92939481296832,0.7580400864707828,38.14994094935169,0.9496113473587036
64,31.098206622599154,0.7632779177300334,38.31568653798136,0.9505056185407639
65,31.084560838893903,0.76315723418504,38.26884702569967,0.9497852928276062
66,31.370279738038892,0.7715665975511075,38.598563737673416,0.9519037963571548
67,31.591656637619696,0.7775916230850816,38.94458490495895,0.9536545656099319
68,31.331330571176423,0.7709783818349838,38.58996117316431,0.951277927646637
69,31.585635648492737,0.7761353850984574,39.31002753846949,0.9592802430257797
70,31.454772210884073,0.7753110869889259,38.70050873385235,0.9523059686403275
71,31.22417155364237,0.7670925160663724,38.59186043937291,0.9512372980489731
72,31.428931596725405,0.7717017446250916,38.91448278087471,0.9534204283733367
73,31.291463776394494,0.7670610063647628,38.819684918470195,0.9529274832429886
74,31.34056654995176,0.7681532182953954,38.910377239979425,0.953494665728569
75,31.51126239502624,0.7751771346775294,38.9615436000116,0.9542124589500427
76,31.28395920713663,0.7703987350043654,38.67721005840484,0.9508711795063018
77,31.64109700390677,0.7800383722758889,38.971523483942306,0.9529687265386582
78,31.65754320149177,0.7800521562501788,39.02011074191116,0.9532854125490189
79,31.6958971816022,0.7784190739207864,39.12165974267011,0.9541924113073349
80,34.79404048054123,0.8356957397145629,42.40460636532965,0.972408506357193
81,31.456606254957833,0.7717017253693939,38.94504630811258,0.9532769589719773
82,31.30676413582844,0.7673765202624202,38.81863597315875,0.9528510230922699
83,31.68891171683954,0.7779733893339634,39.16854304040057,0.9553647286510467
84,31.103355083653334,0.7607358013771176,38.62181155761851,0.9512174983701706
85,31.657178851449636,0.775035875022471,39.11843712983774,0.9549920389986039
86,31.439030216353338,0.7691901952257753,38.815131344503946,0.953399912776947
87,31.19204587871739,0.7621502178875208,38.50865790066888,0.951678670627594
88,31.308056518219466,0.7663108320660591,38.58197478755506,0.9530549619569778
89,31.139793838633377,0.7630918925095499,38.43879199493842,0.9528648708572388
90,31.232069317100706,0.7652381308026612,38.657933040716046,0.9541756253032684
91,31.424375964531354,0.7727445685876012,39.13165170240723,0.9580391689138412
92,31.19193489252868,0.7634751975806355,38.6424382932866,0.9541129319934845
93,30.946188402868202,0.7581139462514221,38.34916964201243,0.9526745566310882
94,32.35100706806996,0.7955414323120713,39.67125527069902,0.9608364690418243
95,31.72905651210016,0.7797384800451994,39.04296016326957,0.9567179936218262
96,31.81309575717341,0.7809065386933685,39.173344351525195,0.9576042639913559
97,31.41936709220637,0.7685395119180679,38.78597510999615,0.955956476146698
98,31.864037890661713,0.7811490225684047,39.1771364625071,0.9580834492731094
99,32.1441575054364,0.7883262840833067,39.39592786483498,0.9592396492185593
100,32.12923985409216,0.7886740522942544,39.38931650373485,0.9596836925897598
101,31.76663738545023,0.7792435102121233,39.02958488103421,0.9574645318660736
102,35.066950763840374,0.8400056463952661,42.40461128771997,0.9727119433822632
103,31.721938610746662,0.778977781365633,39.0049110051234,0.957458566110611
104,31.675959613477023,0.7801362544618249,39.12432067398218,0.9585049784183503
105,31.648917104097652,0.7799463250726462,39.124794595580575,0.9580627570228577
106,31.317159182573175,0.7699297936810852,38.87897779849811,0.9552938301677704
107,31.25271991867184,0.7685681387927532,38.87860098332118,0.9549234726934434
108,31.468728144240224,0.7719743919693232,39.0856800587087,0.9561154507808686
109,31.425279099821882,0.7705114825261236,38.99440039744274,0.9552471330795288
110,31.32942894020722,0.7694948542463184,38.88352894666215,0.9550278074550629
